"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"AJ Price","https://www.nba.com/stats/player/201985/","IND","https://www.nba.com/stats/team/1610612754/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-2","185","Connecticut","https://www.nba.com/stats/players/traditional/?College=Connecticut","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2009","https://www.nba.com/stats/players/traditional/?DraftYear=2009","2","52","44.0","3.9","1.4","2.0","1.2","2.1","9.2","17.1","45.4","26.4"
"Aaron Gray","https://www.nba.com/stats/player/201189/","TOR","https://www.nba.com/stats/team/1610612761/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","7-0","270","Pittsburgh","https://www.nba.com/stats/players/traditional/?College=Pittsburgh","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","2","49","49.0","3.9","5.7","0.6","-10.0","10.5","26.5","13.4","52.6","5.5"
"Al Harrington","https://www.nba.com/stats/player/1733/","DEN","https://www.nba.com/stats/team/1610612743/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-9","250","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","64.0","14.2","6.1","1.4","5.0","4.2","18.1","24.1","53.5","8.3"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-10","250","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","11.0","12.4","7.0","2.2","8.3","7.7","15.6","17.4","58.5","11.3"
"Al Jefferson","https://www.nba.com/stats/player/2744/","UTA","https://www.nba.com/stats/team/1610612762/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-10","289","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","61.0","19.2","9.6","2.2","4.1","6.7","22.3","25.8","52.0","11.3"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","NOH","https://www.nba.com/stats/team/1610612740/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-9","215","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","66.0","6.0","4.7","1.0","-0.2","7.0","14.8","15.9","48.1","7.4"
"Alan Anderson","https://www.nba.com/stats/player/101187/","TOR","https://www.nba.com/stats/team/1610612761/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-6","220","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","17.0","9.6","2.0","1.5","-2.7","1.8","5.7","18.6","51.9","10.0"
"Alec Burks","https://www.nba.com/stats/player/202692/","UTA","https://www.nba.com/stats/team/1610612762/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","6-6","202","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","59.0","7.2","2.2","0.9","-1.9","5.9","8.1","21.2","50.6","10.0"
"Alonzo Gee","https://www.nba.com/stats/player/202087/","CLE","https://www.nba.com/stats/team/1610612739/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-6","219","Alabama","https://www.nba.com/stats/players/traditional/?College=Alabama","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","63.0","10.6","5.1","1.8","-5.9","5.3","12.3","18.4","51.6","10.9"
"Amar'e Stoudemire","https://www.nba.com/stats/player/2405/","NYK","https://www.nba.com/stats/team/1610612752/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-11","260","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2002","https://www.nba.com/stats/players/traditional/?DraftYear=2002","1","9","47.0","17.5","7.8","1.1","-1.9","6.9","17.6","24.8","54.1","6.3"
