"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"AJ Hammons","https://www.nba.com/stats/player/1627773/","DAL","https://www.nba.com/stats/team/1610612742/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","7-0","260","Purdue","https://www.nba.com/stats/players/traditional/?College=Purdue","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","2","46","22.0","2.2","1.6","0.2","-0.3","4.5","17.2","16.5","47.2","3.8"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","IND","https://www.nba.com/stats/team/1610612754/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","65.0","5.0","1.1","1.9","-1.6","1.9","5.6","18.6","50.7","21.6"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","ORL","https://www.nba.com/stats/team/1610612753/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-9","220","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","80.0","12.7","5.1","1.9","-3.1","4.8","12.4","19.7","53.0","9.7"
"Aaron Harrison","https://www.nba.com/stats/player/1626151/","CHA","https://www.nba.com/stats/team/1610612766/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-6","210","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","5.0","0.2","0.6","0.6","-20.6","0.0","17.6","13.2","10.2","37.5"
"Adreian Payne","https://www.nba.com/stats/player/203940/","MIN","https://www.nba.com/stats/team/1610612750/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-10","237","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","15","18.0","3.5","1.8","0.4","3.2","6.0","17.9","21.9","50.5","8.9"
"Al Horford","https://www.nba.com/stats/player/201143/","BOS","https://www.nba.com/stats/team/1610612738/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-10","245","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","68.0","14.0","6.8","5.0","4.8","4.4","16.2","19.6","55.3","23.9"
"Al Jefferson","https://www.nba.com/stats/player/2744/","IND","https://www.nba.com/stats/team/1610612754/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-10","289","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","66.0","8.1","4.2","0.9","-5.4","7.7","22.5","25.4","52.6","11.4"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","POR","https://www.nba.com/stats/team/1610612757/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-9","220","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","61.0","8.7","7.4","1.6","0.9","4.4","20.4","15.5","50.6","8.2"
"Alan Anderson","https://www.nba.com/stats/player/101187/","LAC","https://www.nba.com/stats/team/1610612746/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-6","220","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","30.0","2.9","0.8","0.4","-10.3","1.0","6.7","13.7","49.4","5.2"
"Alan Williams","https://www.nba.com/stats/player/1626210/","PHX","https://www.nba.com/stats/team/1610612756/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-8","260","Cal-Santa Barbara","https://www.nba.com/stats/players/traditional/?College=Cal-Santa%20Barbara","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","47.0","7.4","6.2","0.5","1.2","12.1","25.5","20.3","54.7","4.9"
