"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","DEN","https://www.nba.com/stats/team/1610612743/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-8","235","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","75.0","15.0","5.9","2.5","6.2","5.7","12.9","19.4","60.2","10.9"
"Aaron Henry","https://www.nba.com/stats/player/1630565/","PHI","https://www.nba.com/stats/team/1610612755/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-5","210","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","6.0","0.3","0.2","0.0","-56.0","0.0","4.8","14.9","20.0","0.0"
"Aaron Holiday","https://www.nba.com/stats/player/1628988/","PHX","https://www.nba.com/stats/team/1610612756/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-0","185","UCLA","https://www.nba.com/stats/players/traditional/?College=UCLA","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","1","23","63.0","6.3","1.9","2.4","-1.4","2.3","9.2","18.2","54.4","22.3"
"Aaron Nesmith","https://www.nba.com/stats/player/1630174/","BOS","https://www.nba.com/stats/team/1610612738/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-5","215","Vanderbilt","https://www.nba.com/stats/players/traditional/?College=Vanderbilt","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","14","52.0","3.8","1.7","0.4","3.0","2.5","11.7","16.4","50.7","5.7"
"Aaron Wiggins","https://www.nba.com/stats/player/1630598/","OKC","https://www.nba.com/stats/team/1610612760/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-4","190","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2021","https://www.nba.com/stats/players/traditional/?DraftYear=2021","2","55","50.0","8.3","3.6","1.4","-8.1","4.0","9.8","14.9","55.6","8.3"
"Abdel Nader","https://www.nba.com/stats/player/1627846/","PHX","https://www.nba.com/stats/team/1610612756/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-5","225","Iowa State","https://www.nba.com/stats/players/traditional/?College=Iowa%20State","Egypt","https://www.nba.com/stats/players/traditional/?Country=Egypt","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","2","58","14.0","2.4","1.9","0.5","-0.9","2.6","14.5","13.9","43.1","6.5"
"Ade Murkey","https://www.nba.com/stats/player/1630278/","SAC","https://www.nba.com/stats/team/1610612758/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-5","200","Denver","https://www.nba.com/stats/players/traditional/?College=Denver","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","1.0","0.0","0.0","0.0","-33.3","0.0","0.0","0.0","0.0","0.0"
"Admiral Schofield","https://www.nba.com/stats/player/1629678/","ORL","https://www.nba.com/stats/team/1610612753/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-5","241","Tennessee","https://www.nba.com/stats/players/traditional/?College=Tennessee","United Kingdom","https://www.nba.com/stats/players/traditional/?Country=United%20Kingdom","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","2","42","38.0","3.8","2.3","0.7","-13.5","3.3","14.6","14.3","53.8","8.4"
"Ahmad Caver","https://www.nba.com/stats/player/1629958/","IND","https://www.nba.com/stats/team/1610612754/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-2","174","Old Dominion","https://www.nba.com/stats/players/traditional/?College=Old%20Dominion","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","","","1.0","2.0","0.0","0.0","133.3","0.0","0.0","50.0","100","0.0"
"Al Horford","https://www.nba.com/stats/player/201143/","BOS","https://www.nba.com/stats/team/1610612738/traditional","36","https://www.nba.com/stats/players/traditional/?CF=AGE*E*36","6-9","240","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","69.0","10.2","7.7","3.4","9.3","5.4","20.1","14.7","57.4","15.9"
"Alec Burks","https://www.nba.com/stats/player/202692/","NYK","https://www.nba.com/stats/team/1610612752/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-6","214","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","81.0","11.7","4.9","3.0","2.3","1.9","14.8","17.1","55.9","15.8"
"Aleem Ford","https://www.nba.com/stats/player/1630758/","ORL","https://www.nba.com/stats/team/1610612753/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-8","220","Wisconsin","https://www.nba.com/stats/players/traditional/?College=Wisconsin","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","5.0","2.8","3.0","0.4","-22.1","2.8","16.0","14.8","35.0","4.3"
"Aleksej Pokusevski","https://www.nba.com/stats/player/1630197/","OKC","https://www.nba.com/stats/team/1610612760/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","7-0","190","None","https://www.nba.com/stats/players/traditional/?College=None","Serbia","https://www.nba.com/stats/players/traditional/?Country=Serbia","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","17","61.0","7.6","5.2","2.1","-2.5","5.4","18.9","19.5","48.5","16.1"
"Alex Caruso","https://www.nba.com/stats/player/1627936/","CHI","https://www.nba.com/stats/team/1610612741/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-5","186","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","41.0","7.4","3.6","4.0","5.1","2.9","10.1","13.0","52.8","19.4"
"Alex Len","https://www.nba.com/stats/player/203458/","SAC","https://www.nba.com/stats/team/1610612758/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","7-0","250","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","Ukraine","https://www.nba.com/stats/players/traditional/?Country=Ukraine","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","5","39.0","6.0","4.1","1.2","-5.5","7.6","16.8","16.5","57.7","10.4"
"Alfonzo McKinnie","https://www.nba.com/stats/player/1628035/","CHI","https://www.nba.com/stats/team/1610612741/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-7","215","Wisc.-Green Bay","https://www.nba.com/stats/players/traditional/?College=Wisc.-Green%20Bay","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","17.0","3.5","1.9","0.3","-12.9","5.9","11.5","14.8","45.7","3.4"
"Alize Johnson","https://www.nba.com/stats/player/1628993/","NOP","https://www.nba.com/stats/team/1610612740/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-8","212","Missouri State","https://www.nba.com/stats/players/traditional/?College=Missouri%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","2","50","23.0","1.8","2.7","0.4","-10.6","15.6","20.2","14.0","46.3","8.0"
"Alperen Sengun","https://www.nba.com/stats/player/1630578/","HOU","https://www.nba.com/stats/team/1610612745/traditional","19","https://www.nba.com/stats/players/traditional/?CF=AGE*E*19","6-10","243","None","https://www.nba.com/stats/players/traditional/?College=None","Turkey","https://www.nba.com/stats/players/traditional/?Country=Turkey","2021","https://www.nba.com/stats/players/traditional/?DraftYear=2021","1","16","72.0","9.6","5.5","2.6","-10.2","8.9","17.4","21.4","55.2","19.3"
