"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","MIN","https://www.nba.com/stats/team/1610612750/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","32.0","2.3","0.5","0.6","-17.2","3.6","5.7","19.2","50.8","16.1"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","ORL","https://www.nba.com/stats/team/1610612753/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-9","220","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","58.0","17.6","7.9","2.3","-2.0","4.4","19.1","23.8","53.0","11.1"
"Aaron Harrison","https://www.nba.com/stats/player/1626151/","DAL","https://www.nba.com/stats/team/1610612742/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-6","210","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","9.0","6.7","2.7","1.2","-14.1","1.5","9.1","14.7","39.2","7.2"
"Aaron Jackson","https://www.nba.com/stats/player/1628935/","HOU","https://www.nba.com/stats/team/1610612745/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-3","183","Duquesne","https://www.nba.com/stats/players/traditional/?College=Duquesne","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","1.0","8.0","3.0","1.0","-19.8","5.6","3.1","14.9","40.5","5.3"
"Abdel Nader","https://www.nba.com/stats/player/1627846/","BOS","https://www.nba.com/stats/team/1610612738/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-6","230","Iowa State","https://www.nba.com/stats/players/traditional/?College=Iowa%20State","Egypt","https://www.nba.com/stats/players/traditional/?Country=Egypt","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","2","58","48.0","3.0","1.5","0.5","-10.3","2.4","11.1","16.2","43.9","7.8"
"Adreian Payne","https://www.nba.com/stats/player/203940/","ORL","https://www.nba.com/stats/team/1610612753/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-10","237","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","15","5.0","4.2","1.8","0.0","-12.4","4.4","22.6","15.5","83.1","0.0"
"Al Horford","https://www.nba.com/stats/player/201143/","BOS","https://www.nba.com/stats/team/1610612738/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-10","245","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","72.0","12.9","7.4","4.7","7.3","4.7","17.8","18.3","57.5","22.5"
"Al Jefferson","https://www.nba.com/stats/player/2744/","IND","https://www.nba.com/stats/team/1610612754/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-10","280","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","36.0","7.0","4.0","0.8","-1.8","6.1","22.7","21.8","56.3","9.8"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","POR","https://www.nba.com/stats/team/1610612757/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-9","220","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","69.0","9.3","7.6","1.2","5.2","4.5","19.8","14.5","52.2","5.6"
"Alan Williams","https://www.nba.com/stats/player/1626210/","PHX","https://www.nba.com/stats/team/1610612756/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-8","265","Cal-Santa Barbara","https://www.nba.com/stats/players/traditional/?College=Cal-Santa%20Barbara","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","5.0","4.0","4.4","1.6","0.1","3.9","26.0","18.4","45.5","19.5"
