"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron McKie","https://www.nba.com/stats/player/243/","PHI","https://www.nba.com/stats/team/1610612755/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-5","209","Temple","https://www.nba.com/stats/players/traditional/?College=Temple","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1994","https://www.nba.com/stats/players/traditional/?DraftYear=1994","1","17","75.0","9.2","3.4","2.6","-1.3","2.2","10.2","15.9","55.0","16.9"
"Aaron Williams","https://www.nba.com/stats/player/1425/","NJN","https://www.nba.com/stats/team/1610612751/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-9","240","Xavier","https://www.nba.com/stats/players/traditional/?College=Xavier","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","72.0","6.3","4.1","1.1","-1.4","7.8","15.1","17.1","54.9","10.9"
"Adonal Foyle","https://www.nba.com/stats/player/1502/","GSW","https://www.nba.com/stats/team/1610612744/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-10","265","Colgate","https://www.nba.com/stats/players/traditional/?College=Colgate","St. Vincent & Grenadines","https://www.nba.com/stats/players/traditional/?Country=St.%20Vincent%20&%20Grenadines","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","1","8","44.0","3.1","3.8","0.4","-6.9","9.4","19.7","13.2","47.1","5.0"
"Adrian Griffin","https://www.nba.com/stats/player/1559/","HOU","https://www.nba.com/stats/team/1610612745/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-5","230","Seton Hall","https://www.nba.com/stats/players/traditional/?College=Seton%20Hall","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","19.0","0.6","1.0","0.5","-15.5","0.9","14.3","8.7","27.8","13.2"
"Al Harrington","https://www.nba.com/stats/player/1733/","IND","https://www.nba.com/stats/team/1610612754/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-9","250","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","79.0","13.3","6.4","1.7","1.5","7.0","15.5","22.5","51.4","10.7"
"Alan Henderson","https://www.nba.com/stats/player/673/","ATL","https://www.nba.com/stats/team/1610612737/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-9","240","Indiana","https://www.nba.com/stats/players/traditional/?College=Indiana","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1995","https://www.nba.com/stats/players/traditional/?DraftYear=1995","1","16","6.0","4.0","3.5","0.3","-21.8","18.3","14.1","18.5","50.8","5.6"
"Alex Garcia","https://www.nba.com/stats/player/2682/","SAS","https://www.nba.com/stats/team/1610612759/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-3","195","None","https://www.nba.com/stats/players/traditional/?College=None","Brazil","https://www.nba.com/stats/players/traditional/?Country=Brazil","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","2.0","1.5","0.0","0.0","8.6","0.0","0.0","26.5","19.0","0.0"
"Allan Houston","https://www.nba.com/stats/player/275/","NYK","https://www.nba.com/stats/team/1610612752/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-6","200","Tennessee","https://www.nba.com/stats/players/traditional/?College=Tennessee","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1993","https://www.nba.com/stats/players/traditional/?DraftYear=1993","1","11","50.0","18.5","2.4","2.0","-0.7","1.2","5.6","24.4","53.9","10.1"
"Allen Iverson","https://www.nba.com/stats/player/947/","PHI","https://www.nba.com/stats/team/1610612755/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-0","165","Georgetown","https://www.nba.com/stats/players/traditional/?College=Georgetown","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1996","https://www.nba.com/stats/players/traditional/?DraftYear=1996","1","1","48.0","26.4","3.7","6.8","-2.5","1.7","6.9","33.9","47.8","32.5"
"Alonzo Mourning","https://www.nba.com/stats/player/297/","NJN","https://www.nba.com/stats/team/1610612751/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-10","261","Georgetown","https://www.nba.com/stats/players/traditional/?College=Georgetown","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1992","https://www.nba.com/stats/players/traditional/?DraftYear=1992","1","2","12.0","8.0","2.3","0.7","-5.5","3.8","8.4","20.1","55.8","7.3"
"Alton Ford","https://www.nba.com/stats/player/2228/","HOU","https://www.nba.com/stats/team/1610612745/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-9","280","Houston","https://www.nba.com/stats/players/traditional/?College=Houston","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2001","https://www.nba.com/stats/players/traditional/?DraftYear=2001","2","50","9.0","1.7","1.2","0.3","3.7","7.3","21.1","17.8","55.0","15.8"
"Alvin Williams","https://www.nba.com/stats/player/1541/","TOR","https://www.nba.com/stats/team/1610612761/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-5","185","Villanova","https://www.nba.com/stats/players/traditional/?College=Villanova","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","2","47","56.0","8.8","2.7","4.0","-6.5","1.1","7.8","16.8","46.3","23.7"
"Amal McCaskill","https://www.nba.com/stats/player/1043/","PHI","https://www.nba.com/stats/team/1610612755/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-11","235","Marquette","https://www.nba.com/stats/players/traditional/?College=Marquette","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1996","https://www.nba.com/stats/players/traditional/?DraftYear=1996","2","49","59.0","1.9","2.3","0.3","-3.7","8.0","13.5","11.2","43.8","5.5"
"Amar'e Stoudemire","https://www.nba.com/stats/player/2405/","PHX","https://www.nba.com/stats/team/1610612756/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-10","245","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2002","https://www.nba.com/stats/players/traditional/?DraftYear=2002","1","9","55.0","20.6","9.0","1.4","-2.9","7.9","16.7","27.3","53.6","7.0"
"Andre Miller","https://www.nba.com/stats/player/1889/","DEN","https://www.nba.com/stats/team/1610612743/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-2","200","Utah","https://www.nba.com/stats/players/traditional/?College=Utah","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1999","https://www.nba.com/stats/players/traditional/?DraftYear=1999","1","8","82.0","14.8","4.5","6.1","3.0","4.5","8.5","20.4","54.1","28.3"
"Andrei Kirilenko","https://www.nba.com/stats/player/1905/","UTA","https://www.nba.com/stats/team/1610612762/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-9","225","None","https://www.nba.com/stats/players/traditional/?College=None","Russia","https://www.nba.com/stats/players/traditional/?Country=Russia","1999","https://www.nba.com/stats/players/traditional/?DraftYear=1999","1","24","78.0","16.5","8.1","3.1","1.8","8.3","15.2","21.5","55.9","15.2"
"Andrew DeClercq","https://www.nba.com/stats/player/692/","ORL","https://www.nba.com/stats/team/1610612753/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-10","255","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1995","https://www.nba.com/stats/players/traditional/?DraftYear=1995","2","34","71.0","3.2","4.5","0.6","-3.3","10.8","15.8","10.1","52.6","5.4"
"Anfernee Hardaway","https://www.nba.com/stats/player/358/","NYK","https://www.nba.com/stats/team/1610612752/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-7","215","Memphis State","https://www.nba.com/stats/players/traditional/?College=Memphis%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1993","https://www.nba.com/stats/players/traditional/?DraftYear=1993","1","3","76.0","9.2","3.8","2.3","-2.2","3.3","10.5","18.0","47.2","14.1"
"Ansu Sesay","https://www.nba.com/stats/player/1738/","SEA","https://www.nba.com/stats/team/1610612760/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-9","225","Mississippi","https://www.nba.com/stats/players/traditional/?College=Mississippi","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","2","30","57.0","3.5","1.6","0.3","-1.6","7.3","8.7","16.8","50.4","5.7"
"Antawn Jamison","https://www.nba.com/stats/player/1712/","DAL","https://www.nba.com/stats/team/1610612742/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-9","225","North Carolina","https://www.nba.com/stats/players/traditional/?College=North%20Carolina","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","4","82.0","14.8","6.3","0.9","5.6","9.3","12.1","20.3","58.1","4.7"
"Anthony Carter","https://www.nba.com/stats/player/1853/","SAS","https://www.nba.com/stats/team/1610612759/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-2","195","Hawaii","https://www.nba.com/stats/players/traditional/?College=Hawaii","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","5.0","4.4","2.2","2.4","0.6","2.2","8.5","24.7","29.7","27.9"
"Anthony Goldwire","https://www.nba.com/stats/player/924/","NJN","https://www.nba.com/stats/team/1610612751/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-2","182","Houston","https://www.nba.com/stats/players/traditional/?College=Houston","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1994","https://www.nba.com/stats/players/traditional/?DraftYear=1994","2","52","11.0","1.5","0.6","1.0","0.0","1.2","7.7","13.4","37.9","21.6"
"Anthony Johnson","https://www.nba.com/stats/player/1533/","IND","https://www.nba.com/stats/team/1610612754/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-3","190","College of Charleston","https://www.nba.com/stats/players/traditional/?College=College%20of%20Charleston","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","2","39","73.0","6.2","1.8","2.8","-0.8","1.8","6.9","15.2","49.7","23.1"
"Anthony Peeler","https://www.nba.com/stats/player/324/","SAC","https://www.nba.com/stats/team/1610612758/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-4","208","Missouri","https://www.nba.com/stats/players/traditional/?College=Missouri","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1992","https://www.nba.com/stats/players/traditional/?DraftYear=1992","1","15","75.0","5.7","2.0","1.6","4.6","2.2","8.5","14.3","57.5","13.9"
