"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"AJ Price","https://www.nba.com/stats/player/201985/","CLE","https://www.nba.com/stats/team/1610612739/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-2","195","Connecticut","https://www.nba.com/stats/players/traditional/?College=Connecticut","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2009","https://www.nba.com/stats/players/traditional/?DraftYear=2009","2","52","26.0","5.1","1.2","1.8","-10.0","1.7","8.5","21.8","45.1","25.4"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","CHI","https://www.nba.com/stats/team/1610612741/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","82.0","11.6","2.0","3.2","5.0","1.7","6.8","24.6","53.4","24.5"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","ORL","https://www.nba.com/stats/team/1610612753/traditional","19","https://www.nba.com/stats/players/traditional/?CF=AGE*E*19","6-9","220","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","47.0","5.2","3.6","0.7","-7.9","5.8","15.1","15.1","51.7","6.4"
"Adreian Payne","https://www.nba.com/stats/player/203940/","MIN","https://www.nba.com/stats/team/1610612750/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-10","245","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","15","32.0","6.7","5.1","0.9","-17.0","6.6","16.8","17.3","44.3","6.7"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-10","250","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","76.0","15.2","7.2","3.2","6.7","6.1","17.3","22.0","56.3","17.8"
"Al Jefferson","https://www.nba.com/stats/player/2744/","CHA","https://www.nba.com/stats/team/1610612766/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-10","289","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","65.0","16.6","8.4","1.7","-3.4","4.9","23.0","26.5","50.0","11.0"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","DAL","https://www.nba.com/stats/team/1610612742/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-9","215","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","74.0","5.6","4.6","0.8","5.3","8.1","16.1","14.6","50.4","6.2"
"Alan Anderson","https://www.nba.com/stats/player/101187/","BKN","https://www.nba.com/stats/team/1610612751/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-6","220","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","74.0","7.4","2.8","1.1","-1.0","1.8","9.6","13.9","56.3","7.4"
"Alec Burks","https://www.nba.com/stats/player/202692/","UTA","https://www.nba.com/stats/team/1610612762/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-6","211","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","27.0","13.9","4.2","3.0","-7.2","2.2","11.3","20.6","52.4","14.5"
"Alex Kirk","https://www.nba.com/stats/player/203945/","CLE","https://www.nba.com/stats/team/1610612739/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","7-0","245","New Mexico","https://www.nba.com/stats/players/traditional/?College=New%20Mexico","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","5.0","0.8","0.2","0.2","-44.1","8.3","0.0","16.7","41.0","12.5"
