"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"David Roddy","https://www.nba.com/stats/player/1631223/","PHX","https://www.nba.com/stats/team/1610612756/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-4","255","Colorado State","https://www.nba.com/stats/players/traditional/?College=Colorado%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2022","https://www.nba.com/stats/players/traditional/?DraftYear=2022","1","23","65.0","6.5","3.2","1.2","-9.3","4.2","13.4","17.7","48.4","10.2"
"Davion Mitchell","https://www.nba.com/stats/player/1630558/","SAC","https://www.nba.com/stats/team/1610612758/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-0","202","Baylor","https://www.nba.com/stats/players/traditional/?College=Baylor","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2021","https://www.nba.com/stats/players/traditional/?DraftYear=2021","1","9","72.0","5.3","1.3","1.9","-2.6","1.7","7.1","14.7","55.5","16.8"
"Day'Ron Sharpe","https://www.nba.com/stats/player/1630549/","BKN","https://www.nba.com/stats/team/1610612751/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-9","265","North Carolina","https://www.nba.com/stats/players/traditional/?College=North%20Carolina","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2021","https://www.nba.com/stats/players/traditional/?DraftYear=2021","1","29","61.0","6.8","6.4","1.4","4.8","16.3","23.5","18.5","59.6","13.7"
"De'Aaron Fox","https://www.nba.com/stats/player/1628368/","SAC","https://www.nba.com/stats/team/1610612758/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-3","185","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2017","https://www.nba.com/stats/players/traditional/?DraftYear=2017","1","5","74.0","26.6","4.6","5.6","4.3","2.4","10.4","30.0","56.7","24.4"
"De'Andre Hunter","https://www.nba.com/stats/player/1629631/","ATL","https://www.nba.com/stats/team/1610612737/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-8","221","Virginia","https://www.nba.com/stats/players/traditional/?College=Virginia","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","1","4","57.0","15.6","3.9","1.5","-1.3","1.8","11.6","20.4","59.5","7.3"
"De'Anthony Melton","https://www.nba.com/stats/player/1629001/","PHI","https://www.nba.com/stats/team/1610612755/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-3","200","Southern California","https://www.nba.com/stats/players/traditional/?College=Southern%20California","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","2","46","38.0","11.1","3.7","3.0","10.0","2.7","11.1","17.7","53.3","14.4"
"DeAndre Jordan","https://www.nba.com/stats/player/201599/","DEN","https://www.nba.com/stats/team/1610612743/traditional","35","https://www.nba.com/stats/players/traditional/?CF=AGE*E*35","6-11","265","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2008","https://www.nba.com/stats/players/traditional/?DraftYear=2008","2","35","36.0","3.9","4.4","0.7","-10.7","12.6","23.7","14.7","61.0","9.8"
"DeJon Jarreau","https://www.nba.com/stats/player/1630610/","MEM","https://www.nba.com/stats/team/1610612763/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","185","Houston","https://www.nba.com/stats/players/traditional/?College=Houston","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","9.0","4.8","4.9","2.9","-4.6","4.3","23.8","17.1","39.2","25.7"
"DeMar DeRozan","https://www.nba.com/stats/player/201942/","CHI","https://www.nba.com/stats/team/1610612741/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-6","220","Southern California","https://www.nba.com/stats/players/traditional/?College=Southern%20California","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2009","https://www.nba.com/stats/players/traditional/?DraftYear=2009","1","9","79.0","24.0","4.3","5.3","-1.0","1.4","10.1","25.2","58.4","22.0"
"Dean Wade","https://www.nba.com/stats/player/1629731/","CLE","https://www.nba.com/stats/team/1610612739/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-9","228","Kansas State","https://www.nba.com/stats/players/traditional/?College=Kansas%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","54.0","5.4","4.0","0.8","8.3","3.3","15.4","10.1","59.8","5.2"
