"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","ORL","https://www.nba.com/stats/team/1610612753/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-8","235","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","62.0","14.4","7.7","3.7","-1.2","5.0","18.1","20.5","51.6","16.5"
"Aaron Holiday","https://www.nba.com/stats/player/1628988/","IND","https://www.nba.com/stats/team/1610612754/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-0","185","UCLA","https://www.nba.com/stats/players/traditional/?College=UCLA","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","1","23","66.0","9.5","2.4","3.4","2.2","1.3","7.7","18.2","52.1","18.8"
"Abdel Nader","https://www.nba.com/stats/player/1627846/","OKC","https://www.nba.com/stats/team/1610612760/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","225","Iowa State","https://www.nba.com/stats/players/traditional/?College=Iowa%20State","Egypt","https://www.nba.com/stats/players/traditional/?Country=Egypt","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","2","58","55.0","6.3","1.8","0.7","-4.2","1.6","9.5","16.4","59.1","6.8"
"Adam Mokoka","https://www.nba.com/stats/player/1629690/","CHI","https://www.nba.com/stats/team/1610612741/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-5","190","None","https://www.nba.com/stats/players/traditional/?College=None","France","https://www.nba.com/stats/players/traditional/?Country=France","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","11.0","2.9","0.9","0.4","17.1","5.7","2.9","11.0","53.8","4.3"
"Admiral Schofield","https://www.nba.com/stats/player/1629678/","WAS","https://www.nba.com/stats/team/1610612764/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-5","241","Tennessee","https://www.nba.com/stats/players/traditional/?College=Tennessee","United Kingdom","https://www.nba.com/stats/players/traditional/?Country=United%20Kingdom","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","2","42","33.0","3.0","1.4","0.5","-7.1","1.7","10.6","11.8","50.2","5.7"
"Al Horford","https://www.nba.com/stats/player/201143/","PHI","https://www.nba.com/stats/team/1610612755/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-9","240","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","67.0","11.9","6.8","4.0","3.3","5.1","17.1","17.3","53.6","18.7"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","ORL","https://www.nba.com/stats/team/1610612753/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-8","220","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","18.0","4.3","4.8","1.2","-5.4","5.3","15.8","12.7","39.5","8.8"
"Alec Burks","https://www.nba.com/stats/player/202692/","PHI","https://www.nba.com/stats/team/1610612755/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-6","214","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","66.0","15.0","4.3","2.9","-6.3","2.5","13.1","23.0","56.1","17.9"
"Alen Smailagic","https://www.nba.com/stats/player/1629346/","GSW","https://www.nba.com/stats/team/1610612744/traditional","19","https://www.nba.com/stats/players/traditional/?CF=AGE*E*19","6-10","215","None","https://www.nba.com/stats/players/traditional/?College=None","Serbia","https://www.nba.com/stats/players/traditional/?Country=Serbia","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","2","39","14.0","4.2","1.9","0.9","-3.0","7.7","11.0","17.5","61.0","13.3"
"Alex Caruso","https://www.nba.com/stats/player/1627936/","LAL","https://www.nba.com/stats/team/1610612747/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","186","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","64.0","5.5","1.9","1.9","9.8","1.4","8.5","13.6","52.5","13.8"
"Alex Len","https://www.nba.com/stats/player/203458/","SAC","https://www.nba.com/stats/team/1610612758/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","7-0","250","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","Ukraine","https://www.nba.com/stats/players/traditional/?Country=Ukraine","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","5","55.0","8.0","5.8","0.9","-5.4","9.4","20.2","17.6","60.0","8.3"
"Alfonzo McKinnie","https://www.nba.com/stats/player/1628035/","CLE","https://www.nba.com/stats/team/1610612739/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-7","215","Wisc.-Green Bay","https://www.nba.com/stats/players/traditional/?College=Wisc.-Green%20Bay","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","40.0","4.6","2.8","0.4","-7.4","6.1","13.1","14.7","49.3","3.2"
