"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","HOU","https://www.nba.com/stats/team/1610612745/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","80.0","11.2","2.0","3.0","3.9","1.8","6.3","22.6","52.1","20.1"
"Aaron Gray","https://www.nba.com/stats/player/201189/","CHI","https://www.nba.com/stats/team/1610612741/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","7-0","270","Pittsburgh","https://www.nba.com/stats/players/traditional/?College=Pittsburgh","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","2","49","56.0","3.5","3.9","0.8","-3.1","11.6","19.2","13.9","50.8","9.8"
"Acie Law","https://www.nba.com/stats/player/201151/","ATL","https://www.nba.com/stats/team/1610612737/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-3","202","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","11","55.0","2.9","1.1","1.6","-0.6","1.1","8.7","15.7","49.0","25.7"
"Adam Morrison","https://www.nba.com/stats/player/200747/","LAL","https://www.nba.com/stats/team/1610612747/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-8","205","Gonzaga","https://www.nba.com/stats/players/traditional/?College=Gonzaga","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2006","https://www.nba.com/stats/players/traditional/?DraftYear=2006","1","3","52.0","4.0","1.5","0.8","-8.1","2.7","9.3","17.3","44.8","10.1"
"Adonal Foyle","https://www.nba.com/stats/player/1502/","ORL","https://www.nba.com/stats/team/1610612753/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-10","270","Colgate","https://www.nba.com/stats/players/traditional/?College=Colgate","St. Vincent & Grenadines","https://www.nba.com/stats/players/traditional/?Country=St.%20Vincent%20&%20Grenadines","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","1","8","10.0","1.7","2.6","0.1","-6.3","12.7","23.6","11.9","62.3","2.8"
"Al Harrington","https://www.nba.com/stats/player/1733/","NYK","https://www.nba.com/stats/team/1610612752/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-9","250","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","73.0","20.1","6.2","1.4","-1.1","3.7","14.5","25.4","54.7","6.8"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-10","245","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","67.0","11.5","9.3","2.4","0.6","6.9","22.3","16.5","56.5","11.9"
"Al Jefferson","https://www.nba.com/stats/player/2744/","MIN","https://www.nba.com/stats/team/1610612750/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-10","265","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","50.0","23.1","11.0","1.6","-2.6","9.3","21.9","28.5","53.2","8.2"
"Al Thornton","https://www.nba.com/stats/player/201154/","LAC","https://www.nba.com/stats/team/1610612746/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-8","220","Florida State","https://www.nba.com/stats/players/traditional/?College=Florida%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","14","71.0","16.8","5.2","1.5","-10.5","4.7","9.8","22.5","50.2","6.8"
"Alando Tucker","https://www.nba.com/stats/player/201169/","PHX","https://www.nba.com/stats/team/1610612756/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-6","205","Wisconsin","https://www.nba.com/stats/players/traditional/?College=Wisconsin","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","29","30.0","4.6","1.0","0.4","4.3","6.3","4.3","20.9","50.9","6.4"
"Alex Acker","https://www.nba.com/stats/player/101165/","LAC","https://www.nba.com/stats/team/1610612746/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-5","185","Pepperdine","https://www.nba.com/stats/players/traditional/?College=Pepperdine","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","2","60","25.0","2.9","1.0","0.5","2.3","3.9","8.2","19.8","44.8","9.1"
"Alexis Ajinca","https://www.nba.com/stats/player/201582/","CHA","https://www.nba.com/stats/team/1610612766/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","7-0","220","None","https://www.nba.com/stats/players/traditional/?College=None","France","https://www.nba.com/stats/players/traditional/?Country=France","2008","https://www.nba.com/stats/players/traditional/?DraftYear=2008","1","20","31.0","2.3","1.0","0.1","3.1","5.7","13.2","24.6","43.0","3.2"
"Allen Iverson","https://www.nba.com/stats/player/947/","DET","https://www.nba.com/stats/team/1610612765/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-0","180","Georgetown","https://www.nba.com/stats/players/traditional/?College=Georgetown","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1996","https://www.nba.com/stats/players/traditional/?DraftYear=1996","1","1","57.0","17.5","3.0","5.0","-1.5","1.5","7.2","25.8","50.4","23.8"
"Amar'e Stoudemire","https://www.nba.com/stats/player/2405/","PHX","https://www.nba.com/stats/team/1610612756/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-10","249","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2002","https://www.nba.com/stats/players/traditional/?DraftYear=2002","1","9","53.0","21.4","8.1","2.0","3.0","6.8","15.8","24.5","61.7","8.7"
"Amir Johnson","https://www.nba.com/stats/player/101161/","DET","https://www.nba.com/stats/team/1610612765/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-9","210","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","2","56","62.0","3.5","3.7","0.3","5.3","11.6","15.0","10.8","60.8","3.3"
"Anderson Varejao","https://www.nba.com/stats/player/2760/","CLE","https://www.nba.com/stats/team/1610612739/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-11","260","None","https://www.nba.com/stats/players/traditional/?College=None","Brazil","https://www.nba.com/stats/players/traditional/?Country=Brazil","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","2","30","81.0","8.6","7.2","1.0","10.7","7.7","18.5","14.0","56.5","5.5"
"Andray Blatche","https://www.nba.com/stats/player/101154/","WAS","https://www.nba.com/stats/team/1610612764/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-11","248","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","2","49","71.0","10.0","5.3","1.7","-5.9","7.6","16.0","21.8","50.8","11.8"
"Andre Brown","https://www.nba.com/stats/player/2810/","CHA","https://www.nba.com/stats/team/1610612766/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-9","245","DePaul","https://www.nba.com/stats/players/traditional/?College=DePaul","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","4.0","1.0","3.0","0.3","-7.5","20.0","11.4","13.5","25.4","3.8"
"Andre Iguodala","https://www.nba.com/stats/player/2738/","PHI","https://www.nba.com/stats/team/1610612755/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-6","207","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","9","82.0","18.8","5.7","5.3","2.1","2.9","12.3","22.1","56.0","22.1"
"Andre Miller","https://www.nba.com/stats/player/1889/","PHI","https://www.nba.com/stats/team/1610612755/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-2","200","Utah","https://www.nba.com/stats/players/traditional/?College=Utah","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1999","https://www.nba.com/stats/players/traditional/?DraftYear=1999","1","8","82.0","16.3","4.5","6.5","1.6","4.3","8.8","21.5","54.8","29.8"
