"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron McKie","https://www.nba.com/stats/player/243/","PHI","https://www.nba.com/stats/team/1610612755/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-5","209","Temple","https://www.nba.com/stats/players/traditional/?College=Temple","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1994","https://www.nba.com/stats/players/traditional/?DraftYear=1994","1","17","68.0","2.2","2.5","1.5","0.7","1.7","13.5","6.8","51.0","13.5"
"Aaron Williams","https://www.nba.com/stats/player/1425/","TOR","https://www.nba.com/stats/team/1610612761/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-9","235","Xavier","https://www.nba.com/stats/players/traditional/?College=Xavier","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","42.0","1.7","1.4","0.2","-20.0","5.5","15.2","12.8","51.8","4.9"
"Adonal Foyle","https://www.nba.com/stats/player/1502/","GSW","https://www.nba.com/stats/team/1610612744/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-10","270","Colgate","https://www.nba.com/stats/players/traditional/?College=Colgate","St. Vincent & Grenadines","https://www.nba.com/stats/players/traditional/?Country=St.%20Vincent%20&%20Grenadines","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","1","8","78.0","4.5","5.5","0.7","-0.2","9.3","15.2","10.4","51.4","4.8"
"Adrian Griffin","https://www.nba.com/stats/player/1559/","CHI","https://www.nba.com/stats/team/1610612741/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-5","230","Seton Hall","https://www.nba.com/stats/players/traditional/?College=Seton%20Hall","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","69.0","2.2","2.1","0.8","3.8","7.2","13.8","13.6","41.9","13.4"
"Al Harrington","https://www.nba.com/stats/player/1733/","ATL","https://www.nba.com/stats/team/1610612737/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-9","250","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","66.0","17.5","7.0","3.2","-10.2","5.7","13.9","23.6","50.8","14.8"
"Al Jefferson","https://www.nba.com/stats/player/2744/","BOS","https://www.nba.com/stats/team/1610612738/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","6-10","265","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","71.0","6.7","4.4","0.3","-1.5","12.0","17.8","20.6","55.4","4.2"
"Alan Henderson","https://www.nba.com/stats/player/673/","DAL","https://www.nba.com/stats/team/1610612742/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-9","240","Indiana","https://www.nba.com/stats/players/traditional/?College=Indiana","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1995","https://www.nba.com/stats/players/traditional/?DraftYear=1995","1","16","78.0","3.5","4.5","0.3","-6.1","13.3","14.9","11.1","53.9","2.9"
"Aleksandar Radojevic","https://www.nba.com/stats/player/1893/","UTA","https://www.nba.com/stats/team/1610612762/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","7-3","250","None","https://www.nba.com/stats/players/traditional/?College=None","Bosnia and Herzegovina","https://www.nba.com/stats/players/traditional/?Country=Bosnia%20and%20Herzegovina","1999","https://www.nba.com/stats/players/traditional/?DraftYear=1999","1","12","12.0","1.6","2.3","0.5","-5.6","7.5","17.1","13.7","40.6","7.0"
"Alex Garcia","https://www.nba.com/stats/player/2682/","NOH","https://www.nba.com/stats/team/1610612740/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-3","195","None","https://www.nba.com/stats/players/traditional/?College=None","Brazil","https://www.nba.com/stats/players/traditional/?Country=Brazil","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","8.0","5.5","1.9","2.3","-14.1","4.8","6.9","19.6","40.9","22.8"
"Allan Houston","https://www.nba.com/stats/player/275/","NYK","https://www.nba.com/stats/team/1610612752/traditional","34","https://www.nba.com/stats/players/traditional/?CF=AGE*E*34","6-6","205","Tennessee","https://www.nba.com/stats/players/traditional/?College=Tennessee","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1993","https://www.nba.com/stats/players/traditional/?DraftYear=1993","1","11","20.0","11.9","1.2","2.1","1.4","0.8","3.9","20.7","52.9","12.7"
