"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","HOU","https://www.nba.com/stats/team/1610612745/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","51.0","5.2","1.1","1.7","-1.3","2.2","7.5","21.6","53.5","24.9"
"Aaron Gray","https://www.nba.com/stats/player/201189/","CHI","https://www.nba.com/stats/team/1610612741/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","7-0","270","Pittsburgh","https://www.nba.com/stats/players/traditional/?College=Pittsburgh","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","2","49","61.0","4.3","2.8","0.7","-0.6","11.2","16.3","21.3","52.9","11.3"
"Aaron Williams","https://www.nba.com/stats/player/1425/","LAC","https://www.nba.com/stats/team/1610612746/traditional","36","https://www.nba.com/stats/players/traditional/?CF=AGE*E*36","6-9","235","Xavier","https://www.nba.com/stats/players/traditional/?College=Xavier","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","30.0","2.3","2.0","0.3","-14.0","5.2","15.9","11.5","54.0","5.2"
"Acie Law","https://www.nba.com/stats/player/201151/","ATL","https://www.nba.com/stats/team/1610612737/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-3","195","Texas A&M","https://www.nba.com/stats/players/traditional/?College=Texas%20A&M","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","11","56.0","4.2","1.0","2.0","-7.6","1.4","5.4","15.9","45.5","21.8"
"Adonal Foyle","https://www.nba.com/stats/player/1502/","ORL","https://www.nba.com/stats/team/1610612753/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-10","270","Colgate","https://www.nba.com/stats/players/traditional/?College=Colgate","St. Vincent & Grenadines","https://www.nba.com/stats/players/traditional/?Country=St.%20Vincent%20&%20Grenadines","1997","https://www.nba.com/stats/players/traditional/?DraftYear=1997","1","8","82.0","1.9","2.5","0.2","-0.5","9.3","17.4","12.0","46.4","3.8"
"Adrian Griffin","https://www.nba.com/stats/player/1559/","SEA","https://www.nba.com/stats/team/1610612760/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-5","230","Seton Hall","https://www.nba.com/stats/players/traditional/?College=Seton%20Hall","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","35.0","1.9","1.7","0.8","3.2","8.7","10.5","14.1","40.6","13.4"
"Al Harrington","https://www.nba.com/stats/player/1733/","GSW","https://www.nba.com/stats/team/1610612744/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-9","250","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1998","https://www.nba.com/stats/players/traditional/?DraftYear=1998","1","25","81.0","13.6","5.4","1.6","3.2","4.5","15.6","20.9","54.7","8.9"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-10","245","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","81.0","10.1","9.7","1.5","-2.2","10.2","22.3","16.0","53.9","7.8"
"Al Jefferson","https://www.nba.com/stats/player/2744/","MIN","https://www.nba.com/stats/team/1610612750/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-10","265","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","82.0","21.0","11.1","1.4","-9.8","10.5","22.7","27.3","53.5","7.5"
"Al Thornton","https://www.nba.com/stats/player/201154/","LAC","https://www.nba.com/stats/team/1610612746/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-8","220","Florida State","https://www.nba.com/stats/players/traditional/?College=Florida%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","14","79.0","12.7","4.5","1.2","-8.9","4.7","12.5","23.8","50.4","8.4"
