"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Brooks","https://www.nba.com/stats/player/201166/","CHI","https://www.nba.com/stats/team/1610612741/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-0","161","Oregon","https://www.nba.com/stats/players/traditional/?College=Oregon","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","26","69.0","7.1","1.5","2.6","0.0","1.8","6.8","22.5","49.4","26.5"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","ORL","https://www.nba.com/stats/team/1610612753/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","6-9","220","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","78.0","9.2","6.5","1.6","-1.4","8.0","18.9","16.9","54.1","10.3"
"Aaron Harrison","https://www.nba.com/stats/player/1626151/","CHA","https://www.nba.com/stats/team/1610612766/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-6","210","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","21.0","0.9","0.7","0.1","-3.4","4.5","11.2","13.2","37.1","3.3"
"Adreian Payne","https://www.nba.com/stats/player/203940/","MIN","https://www.nba.com/stats/team/1610612750/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-10","237","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","15","52.0","2.5","2.1","0.6","-12.0","4.4","19.8","17.5","42.2","9.3"
"Al Horford","https://www.nba.com/stats/player/201143/","ATL","https://www.nba.com/stats/team/1610612737/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-10","245","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","82.0","15.2","7.3","3.2","4.2","5.6","15.8","20.2","56.5","16.5"
"Al Jefferson","https://www.nba.com/stats/player/2744/","CHA","https://www.nba.com/stats/team/1610612766/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","6-10","289","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","15","47.0","12.0","6.4","1.5","2.5","5.0","21.6","24.0","50.7","11.4"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","POR","https://www.nba.com/stats/team/1610612757/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-9","215","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","82.0","10.2","6.1","1.7","1.6","4.1","16.8","16.6","53.3","8.7"
"Alan Anderson","https://www.nba.com/stats/player/101187/","WAS","https://www.nba.com/stats/team/1610612764/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-6","220","Michigan State","https://www.nba.com/stats/players/traditional/?College=Michigan%20State","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","13.0","5.0","2.1","1.1","8.2","0.5","13.1","15.1","49.5","11.2"
"Alan Williams","https://www.nba.com/stats/player/1626210/","PHX","https://www.nba.com/stats/team/1610612756/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-8","260","Cal-Santa Barbara","https://www.nba.com/stats/players/traditional/?College=Cal-Santa%20Barbara","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","10.0","2.9","3.8","0.5","-0.7","16.5","34.8","19.4","48.1","9.6"
"Alec Burks","https://www.nba.com/stats/player/202692/","UTA","https://www.nba.com/stats/team/1610612762/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-6","214","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","31.0","13.3","3.5","2.0","0.5","1.9","12.1","24.6","52.0","14.0"
"Alex Len","https://www.nba.com/stats/player/203458/","PHX","https://www.nba.com/stats/team/1610612756/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","7-1","260","Maryland","https://www.nba.com/stats/players/traditional/?College=Maryland","Ukraine","https://www.nba.com/stats/players/traditional/?Country=Ukraine","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","5","78.0","9.0","7.6","1.2","-7.7","9.1","22.3","20.2","48.2","8.7"
"Alex Stepheson","https://www.nba.com/stats/player/1627293/","MEM","https://www.nba.com/stats/team/1610612763/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","6-10","270","Southern California","https://www.nba.com/stats/players/traditional/?College=Southern%20California","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","8.0","2.8","3.5","0.3","-2.0","17.6","10.8","16.6","34.1","5.3"
"Alexis Ajinca","https://www.nba.com/stats/player/201582/","NOP","https://www.nba.com/stats/team/1610612740/traditional","28","https://www.nba.com/stats/players/traditional/?CF=AGE*E*28","7-2","248","None","https://www.nba.com/stats/players/traditional/?College=None","France","https://www.nba.com/stats/players/traditional/?Country=France","2008","https://www.nba.com/stats/players/traditional/?DraftYear=2008","1","20","59.0","6.0","4.6","0.5","-2.6","8.5","22.7","20.1","51.4","5.9"
"Allen Crabbe","https://www.nba.com/stats/player/203459/","POR","https://www.nba.com/stats/team/1610612757/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-6","210","California","https://www.nba.com/stats/players/traditional/?College=California","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","2","31","81.0","10.3","2.7","1.2","1.0","1.2","8.6","15.9","57.2","7.2"
"Alonzo Gee","https://www.nba.com/stats/player/202087/","NOP","https://www.nba.com/stats/team/1610612740/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-6","225","Alabama","https://www.nba.com/stats/players/traditional/?College=Alabama","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","73.0","4.5","3.4","1.0","-4.4","3.5","11.1","9.1","57.2","6.3"
"Amar'e Stoudemire","https://www.nba.com/stats/player/2405/","MIA","https://www.nba.com/stats/team/1610612748/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-10","245","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2002","https://www.nba.com/stats/players/traditional/?DraftYear=2002","1","9","52.0","5.8","4.3","0.5","0.0","9.2","20.6","17.6","59.9","5.4"
"Amir Johnson","https://www.nba.com/stats/player/101161/","BOS","https://www.nba.com/stats/team/1610612738/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-9","240","None","https://www.nba.com/stats/players/traditional/?College=None","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","2","56","79.0","7.3","6.4","1.7","4.6","9.2","17.3","13.6","60.2","11.0"
"Anderson Varejao","https://www.nba.com/stats/player/2760/","GSW","https://www.nba.com/stats/team/1610612744/traditional","33","https://www.nba.com/stats/players/traditional/?CF=AGE*E*33","6-11","273","None","https://www.nba.com/stats/players/traditional/?College=None","Brazil","https://www.nba.com/stats/players/traditional/?Country=Brazil","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","2","30","53.0","2.6","2.7","0.7","2.8","6.8","20.4","14.3","47.3","10.2"
"Andre Drummond","https://www.nba.com/stats/player/203083/","DET","https://www.nba.com/stats/team/1610612765/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-11","279","Connecticut","https://www.nba.com/stats/players/traditional/?College=Connecticut","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2012","https://www.nba.com/stats/players/traditional/?DraftYear=2012","1","9","81.0","16.2","14.8","0.8","2.4","13.5","30.9","23.9","49.9","4.2"
"Andre Iguodala","https://www.nba.com/stats/player/2738/","GSW","https://www.nba.com/stats/team/1610612744/traditional","32","https://www.nba.com/stats/players/traditional/?CF=AGE*E*32","6-6","215","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2004","https://www.nba.com/stats/players/traditional/?DraftYear=2004","1","9","65.0","7.0","4.0","3.4","13.2","3.1","11.0","11.7","56.5","16.5"
"Andre Miller","https://www.nba.com/stats/player/1889/","SAS","https://www.nba.com/stats/team/1610612759/traditional","40","https://www.nba.com/stats/players/traditional/?CF=AGE*E*40","6-3","200","Utah","https://www.nba.com/stats/players/traditional/?College=Utah","USA","https://www.nba.com/stats/players/traditional/?Country=USA","1999","https://www.nba.com/stats/players/traditional/?DraftYear=1999","1","8","39.0","3.7","1.3","2.2","2.8","3.1","8.7","15.6","60.0","27.6"
"Andre Roberson","https://www.nba.com/stats/player/203460/","OKC","https://www.nba.com/stats/team/1610612760/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-7","210","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","26","70.0","4.8","3.6","0.7","9.2","5.3","10.2","9.2","56.6","3.9"
"Andrea Bargnani","https://www.nba.com/stats/player/200745/","BKN","https://www.nba.com/stats/team/1610612751/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","7-0","245","None","https://www.nba.com/stats/players/traditional/?College=None","Italy","https://www.nba.com/stats/players/traditional/?Country=Italy","2006","https://www.nba.com/stats/players/traditional/?DraftYear=2006","1","1","46.0","6.6","2.1","0.4","-14.7","4.2","11.7","22.7","50.0","5.1"
"Andrew Bogut","https://www.nba.com/stats/player/101106/","GSW","https://www.nba.com/stats/team/1610612744/traditional","31","https://www.nba.com/stats/players/traditional/?CF=AGE*E*31","7-0","260","Utah","https://www.nba.com/stats/players/traditional/?College=Utah","Australia","https://www.nba.com/stats/players/traditional/?Country=Australia","2005","https://www.nba.com/stats/players/traditional/?DraftYear=2005","1","1","70.0","5.4","7.0","2.3","14.1","8.6","22.9","11.5","62.3","14.5"
"Andrew Goudelock","https://www.nba.com/stats/player/202726/","HOU","https://www.nba.com/stats/team/1610612745/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-3","200","Charleston","https://www.nba.com/stats/players/traditional/?College=Charleston","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","2","46","8.0","2.8","0.3","0.5","8.3","2.1","1.3","23.4","50.6","11.8"
"Andrew Nicholson","https://www.nba.com/stats/player/203094/","ORL","https://www.nba.com/stats/team/1610612753/traditional","26","https://www.nba.com/stats/players/traditional/?CF=AGE*E*26","6-9","250","St. Bonaventure","https://www.nba.com/stats/players/traditional/?College=St.%20Bonaventure","Canada","https://www.nba.com/stats/players/traditional/?Country=Canada","2012","https://www.nba.com/stats/players/traditional/?DraftYear=2012","1","19","56.0","6.9","3.6","0.4","2.8","4.1","19.1","20.5","56.7","5.0"
"Andrew Wiggins","https://www.nba.com/stats/player/203952/","MIN","https://www.nba.com/stats/team/1610612750/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-8","199","Kansas","https://www.nba.com/stats/players/traditional/?College=Kansas","Canada","https://www.nba.com/stats/players/traditional/?Country=Canada","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","1","81.0","20.7","3.6","2.0","-1.3","3.9","6.6","26.7","54.3","9.8"
"Anthony Bennett","https://www.nba.com/stats/player/203461/","TOR","https://www.nba.com/stats/team/1610612761/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-8","245","UNLV","https://www.nba.com/stats/players/traditional/?College=UNLV","Canada","https://www.nba.com/stats/players/traditional/?Country=Canada","2013","https://www.nba.com/stats/players/traditional/?DraftYear=2013","1","1","19.0","1.5","1.2","0.0","-19.0","5.9","26.2","16.6","44.6","0.0"
"Anthony Brown","https://www.nba.com/stats/player/1626148/","LAL","https://www.nba.com/stats/team/1610612747/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-7","210","Stanford","https://www.nba.com/stats/players/traditional/?College=Stanford","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2015","https://www.nba.com/stats/players/traditional/?DraftYear=2015","2","34","29.0","4.0","2.4","0.7","-2.3","1.4","10.1","10.9","42.7","4.8"
"Anthony Davis","https://www.nba.com/stats/player/203076/","NOP","https://www.nba.com/stats/team/1610612740/traditional","23","https://www.nba.com/stats/players/traditional/?CF=AGE*E*23","6-10","253","Kentucky","https://www.nba.com/stats/players/traditional/?College=Kentucky","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2012","https://www.nba.com/stats/players/traditional/?DraftYear=2012","1","1","61.0","24.3","10.3","1.9","-4.1","5.9","23.4","29.0","55.9","10.0"
"Anthony Morrow","https://www.nba.com/stats/player/201627/","OKC","https://www.nba.com/stats/team/1610612760/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-5","210","Georgia Tech","https://www.nba.com/stats/players/traditional/?College=Georgia%20Tech","USA","https://www.nba.com/stats/players/traditional/?Country=USA","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","68.0","5.6","0.9","0.4","5.3","1.1","5.4","16.7","54.3","3.7"
