"Anchor_anchor__cSc3P","Anchor_anchor__cSc3P href","Anchor_anchor__cSc3P 2","Anchor_anchor__cSc3P href 2","Anchor_anchor__cSc3P 3","Anchor_anchor__cSc3P href 3","tablescraper-selected-row","tablescraper-selected-row 2","Anchor_anchor__cSc3P 4","Anchor_anchor__cSc3P href 4","Anchor_anchor__cSc3P 5","Anchor_anchor__cSc3P href 5","Anchor_anchor__cSc3P 6","Anchor_anchor__cSc3P href 6","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8","tablescraper-selected-row 9","tablescraper-selected-row 10","tablescraper-selected-row 11","tablescraper-selected-row 12","tablescraper-selected-row 13","tablescraper-selected-row 14"
"Aaron Gordon","https://www.nba.com/stats/player/203932/","DEN","https://www.nba.com/stats/team/1610612743/traditional","25","https://www.nba.com/stats/players/traditional/?CF=AGE*E*25","6-8","235","Arizona","https://www.nba.com/stats/players/traditional/?College=Arizona","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2014","https://www.nba.com/stats/players/traditional/?DraftYear=2014","1","4","50.0","12.4","5.7","3.2","2.1","5.5","15.0","20.4","54.7","16.5"
"Aaron Holiday","https://www.nba.com/stats/player/1628988/","IND","https://www.nba.com/stats/team/1610612754/traditional","24","https://www.nba.com/stats/players/traditional/?CF=AGE*E*24","6-0","185","UCLA","https://www.nba.com/stats/players/traditional/?College=UCLA","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2018","https://www.nba.com/stats/players/traditional/?DraftYear=2018","1","23","66.0","7.2","1.3","1.9","-0.2","1.2","6.0","18.9","50.3","13.9"
"Aaron Nesmith","https://www.nba.com/stats/player/1630174/","BOS","https://www.nba.com/stats/team/1610612738/traditional","21","https://www.nba.com/stats/players/traditional/?CF=AGE*E*21","6-5","215","Vanderbilt","https://www.nba.com/stats/players/traditional/?College=Vanderbilt","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","14","46.0","4.7","2.8","0.5","-0.5","4.1","14.6","13.3","57.3","4.7"
"Abdel Nader","https://www.nba.com/stats/player/1627846/","PHX","https://www.nba.com/stats/team/1610612756/traditional","27","https://www.nba.com/stats/players/traditional/?CF=AGE*E*27","6-5","225","Iowa State","https://www.nba.com/stats/players/traditional/?College=Iowa%20State","Egypt","https://www.nba.com/stats/players/traditional/?Country=Egypt","2016","https://www.nba.com/stats/players/traditional/?DraftYear=2016","2","58","24.0","6.7","2.6","0.8","5.0","2.0","15.1","18.3","60.5","7.8"
"Adam Mokoka","https://www.nba.com/stats/player/1629690/","CHI","https://www.nba.com/stats/team/1610612741/traditional","22","https://www.nba.com/stats/players/traditional/?CF=AGE*E*22","6-4","190","None","https://www.nba.com/stats/players/traditional/?College=None","France","https://www.nba.com/stats/players/traditional/?Country=France","Undrafted","https://www.nba.com/stats/players/traditional/?DraftPick=Undrafted","Undrafted","Undrafted","14.0","1.1","0.4","0.4","-7.1","1.7","7.7","17.1","38.6","17.9"
"Al Horford","https://www.nba.com/stats/player/201143/","BOS","https://www.nba.com/stats/team/1610612738/traditional","35","https://www.nba.com/stats/players/traditional/?CF=AGE*E*35","6-9","240","Florida","https://www.nba.com/stats/players/traditional/?College=Florida","Dominican Republic","https://www.nba.com/stats/players/traditional/?Country=Dominican%20Republic","2007","https://www.nba.com/stats/players/traditional/?DraftYear=2007","1","3","28.0","14.2","6.7","3.4","-6.9","3.4","19.5","22.1","53.8","20.6"
"Al-Farouq Aminu","https://www.nba.com/stats/player/202329/","CHI","https://www.nba.com/stats/team/1610612741/traditional","30","https://www.nba.com/stats/players/traditional/?CF=AGE*E*30","6-8","220","Wake Forest","https://www.nba.com/stats/players/traditional/?College=Wake%20Forest","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2010","https://www.nba.com/stats/players/traditional/?DraftYear=2010","1","8","23.0","4.4","4.8","1.3","-6.2","5.0","20.0","13.8","46.9","10.1"
"Alec Burks","https://www.nba.com/stats/player/202692/","NYK","https://www.nba.com/stats/team/1610612752/traditional","29","https://www.nba.com/stats/players/traditional/?CF=AGE*E*29","6-6","214","Colorado","https://www.nba.com/stats/players/traditional/?College=Colorado","USA","https://www.nba.com/stats/players/traditional/?Country=USA","2011","https://www.nba.com/stats/players/traditional/?DraftYear=2011","1","12","49.0","12.7","4.6","2.2","5.0","1.6","15.6","20.8","56.4","13.5"
"Aleksej Pokusevski","https://www.nba.com/stats/player/1630197/","OKC","https://www.nba.com/stats/team/1610612760/traditional","19","https://www.nba.com/stats/players/traditional/?CF=AGE*E*19","7-0","190","None","https://www.nba.com/stats/players/traditional/?College=None","Serbia","https://www.nba.com/stats/players/traditional/?Country=Serbia","2020","https://www.nba.com/stats/players/traditional/?DraftYear=2020","1","17","45.0","8.2","4.7","2.2","-16.7","2.5","15.5","19.7","43.0","13.3"
"Alen Smailagic","https://www.nba.com/stats/player/1629346/","GSW","https://www.nba.com/stats/team/1610612744/traditional","20","https://www.nba.com/stats/players/traditional/?CF=AGE*E*20","6-10","215","None","https://www.nba.com/stats/players/traditional/?College=None","Serbia","https://www.nba.com/stats/players/traditional/?Country=Serbia","2019","https://www.nba.com/stats/players/traditional/?DraftYear=2019","2","39","15.0","1.9","1.1","0.3","-17.6","6.5","11.1","16.5","47.2","7.8"
