player-name,team,age,height,weight,school,country,GP,PTS,REB,AST,NETRTG,OREB%,DREB,USG%,TS%,AST%
Jordin Canada,ATL,29,5-6,135,UCLA,USA,20,10.6,3.5,5.8,1.0,1.8%,9.9%,17.6%,50.4%,31.2%
Joyner Holmes,SEA,27,6-3,210,Texas-Austin,USA,27,2.9,1.8,0.9,-9.9,5.5%,14.6%,18.2%,47.7%,18.1%
Julie Vanloo,WAS,32,5-8,-,None,Belgium,40,7.4,1.6,4.3,-4.6,0.5%,7.1%,19.5%,47.0%,29.5%
Kaela Davis,CHI,29,6-2,180,South Carolina,USA,4,3.0,1.0,0.3,-31.8,1.9%,5.8%,16.1%,43.6%,4.0%
Kahleah Copper,PHO,30,6-1,165,Rutgers,USA,37,21.1,4.5,2.3,-5.2,2.1%,11.6%,31.1%,54.4%,13.9%
Kalani Brown,DAL,27,6-7,245,Baylor,USA,39,5.7,3.1,1.1,-9.7,8.2%,14.9%,18.1%,60.6%,13.6%
Kamilla Cardoso,CHI,23,6-7,215,South Carolina,Brazil,32,9.8,7.9,1.7,-5.9,10.3%,18.1%,16.0%,56.1%,10.0%
Karlie Samuelson,WAS,29,6-0,160,Stanford,USA,29,8.4,2.6,2.1,0.1,2.1%,8.4%,14.5%,57.8%,14.5%
Kate Martin,LVA,24,6-0,172,Iowa,USA,34,2.6,1.6,0.9,0.2,1.6%,11.7%,12.4%,46.6%,11.2%
Katie Lou Samuelson,IND,27,6-3,163,Connecticut,USA,37,4.3,2.3,1.4,-5.9,2.5%,9.9%,10.8%,50.6%,11.0%
Kayla McBride,MIN,32,5-11,179,Notre Dame,USA,39,15.0,2.6,3.2,12.0,1.2%,6.5%,19.7%,61.1%,16.1%
Kayla Thornton,NYL,32,6-1,190,Texas-El Paso,USA,40,5.5,2.6,0.7,7.2,4.7%,7.9%,12.6%,51.5%,5.2%
Kelsey Mitchell,IND,29,5-8,160,Ohio State,USA,40,19.2,2.5,1.8,-2.1,2.1%,5.4%,23.8%,58.8%,9.6%
Kelsey Plum,LVA,30,5-8,145,Washington,USA,38,17.8,2.6,4.2,7.5,0.8%,6.6%,23.7%,56.3%,20.5%
Kennedy Burke,NYL,28,6-1,182,UCLA,USA,38,3.4,1.5,0.9,5.5,3.1%,9.3%,15.4%,47.7%,12.2%
Kia Nurse,LAS,29,6-0,181,Connecticut,Canada,40,7.6,1.6,1.3,-9.9,2.1%,5.9%,17.8%,52.5%,11.6%
Kiah Stokes,LVA,31,6-3,191,Connecticut,USA,39,1.4,4.7,0.7,4.0,3.3%,21.7%,5.1%,41.7%,5.5%
Kiana Williams,SEA,25,5-7,140,Stanford,USA,13,0.8,0.2,0.4,2.5,0.0%,3.4%,15.5%,34.4%,17.9%
Kierstan Bell,LVA,24,6-1,176,Florida Gulf Coast,USA,6,2.8,1.0,0.8,4.5,2.4%,9.8%,17.8%,50.4%,17.9%
Kristy Wallace,IND,29,5-11,157,Baylor,Australia,26,4.7,1.8,1.7,-8.5,2.5%,8.4%,13.6%,49.2%,15.1%
Kysre Gondrezick,CHI,27,5-9,150,West Virginia,USA,5,1.0,0.4,0.4,-1.2,5.9%,5.0%,23.8%,35.7%,22.2%
Laeticia Amihere,ATL,23,6-3,185,South Carolina,Canada,17,1.1,1.6,0.2,-11.6,11.5%,18.5%,19.8%,28.4%,9.4%
Layshia Clarendon,LAS,33,5-9,158,California,USA,21,4.3,1.8,2.6,-6.1,1.7%,10.2%,13.8%,53.5%,26.1%
Leonie Fiebich,NYL,25,6-4,-,None,Germany,40,6.7,3.0,1.8,17.0,4.8%,9.4%,13.2%,62.4%,12.6%
Lexie Brown,LAS,30,5-9,162,Duke,USA,16,8.1,2.3,3.3,-4.6,0.3%,9.6%,19.6%,45.1%,24.5%
Lexie Hull,IND,25,6-1,155,Stanford,USA,34,5.5,2.5,1.1,3.1,5.3%,7.3%,12.0%,60.4%,7.7%
Li Yueru,LAS,25,6-7,-,None,China,38,5.1,3.7,0.6,-7.7,9.9%,16.1%,16.0%,55.8%,7.3%
Lindsay Allen,CHI,29,5-8,145,Notre Dame,USA,40,6.6,2.0,3.9,-0.9,1.3%,6.9%,13.6%,53.7%,24.7%
Liz Dixon,PHO,24,6-5,195,Louisville,USA,18,1.7,2.3,0.5,-18.2,7.9%,17.1%,10.8%,44.9%,10.8%
Lorela Cubaj,ATL,26,6-4,200,Georgia Tech,Italy,28,1.2,1.5,0.5,-10.0,7.7%,10.6%,9.3%,44.4%,12.4%
Lou Lopez Sénéchal,DAL,26,6-1,155,Connecticut,France,27,0.9,0.4,0.4,-34.8,2.3%,6.8%,13.4%,35.0%,13.3%
Maddy Siegrist,DAL,24,6-2,175,Villanova,USA,27,9.4,3.3,1.0,-8.8,6.6%,7.4%,15.8%,55.7%,6.9%
Marina Mabrey,CON,28,5-11,170,Notre Dame,USA,40,14.4,4.4,4.1,3.9,1.7%,12.4%,21.9%,52.4%,22.1%
Marquesha Davis,NYL,23,6-0,-,Mississippi,USA,20,1.2,0.5,0.2,1.1,3.1%,10.0%,15.2%,47.8%,9.3%
Maya Caldwell,ATL,26,5-11,160,Georgia,USA,25,5.2,1.8,1.1,-12.1,5.0%,6.4%,16.4%,49.8%,11.8%
Megan Gustafson,LVA,28,6-4,195,Iowa,USA,38,3.7,1.9,0.2,7.2,6.1%,12.4%,13.6%,62.1%,3.2%
Mercedes Russell,SEA,29,6-6,195,Tennessee,USA,37,3.9,3.0,0.8,3.4,4.4%,13.8%,11.7%,53.9%,8.5%
Michaela Onyenwere,CHI,25,6-0,178,UCLA,USA,34,6.6,1.8,1.0,-8.7,3.0%,6.7%,18.7%,49.1%,8.8%
Mikiah Herbert Harrigan,PHO,26,6-2,152,South Carolina,Anguilla,31,3.2,1.5,0.3,-13.9,4.4%,8.3%,14.0%,51.7%,5.1%
Monique Billings,PHO,28,6-4,192,UCLA,USA,37,7.4,5.8,1.4,-10.1,7.5%,17.4%,16.2%,52.4%,10.5%
Morgan Bertsch,DAL,27,6-4,173,Cal-Davis,USA,11,2.0,1.5,0.2,-22.0,7.3%,8.0%,19.9%,32.0%,4.1%
Moriah Jefferson,CHI,30,5-6,130,Connecticut,USA,23,1.3,0.4,1.3,-18.8,1.5%,3.8%,12.9%,33.4%,28.6%
