,,,,,,Per Game,,,,,,Shooting,,,Advanced,
Year,Player,Team,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2020,Napheesa Collier,2nd,(V),MIN,22,34.2,16.1,9,3.3,1.8,1.3,0.523,0.408,0.829,3.8,0.241
2020,Skylar Diggins-Smith,2nd,(V),PHO,22,30.7,17.7,3.3,4.2,0.9,0.5,0.474,0.397,0.9,2.4,0.168
2020,Myisha Hines-Allen,2nd,(V),WAS,22,30,17,8.9,2.6,1.4,0.2,0.51,0.426,0.828,2.7,0.194
2020,Diana Taurasi,2nd,(V),PHO,19,28.1,18.7,4.2,4.5,1,0.4,0.409,0.365,0.912,3,0.273
2019,Elena Delle Donne,1st,(V),WAS,31,29.1,19.5,8.2,2.2,0.6,1.3,0.515,0.43,0.974,7.7,0.411
2019,Chelsea Gray,1st,(V),LAS,34,32.6,14.5,3.8,5.9,1,0.1,0.416,0.382,0.917,2.4,0.102
2019,Brittney Griner,1st,(V),PHO,31,32.8,20.7,7.2,2.4,0.7,2,0.564,0.333,0.808,5,0.238
2019,Natasha Howard,1st,(V),SEA,34,31.4,18.1,8.2,2.1,2.2,1.7,0.439,0.308,0.81,4.6,0.207
2019,Courtney Vandersloot,1st,(V),CHI,33,30,11.2,4.3,9.1,1.4,0.5,0.452,0.29,0.85,4.1,0.199
2019,Liz Cambage,2nd,(V),LVA,32,25.2,15.9,8.2,2.1,0.6,1.6,0.504,0.167,0.748,4.1,0.245
2019,Diamond DeShields,2nd,(V),CHI,34,30.2,16.2,5.5,2.4,1.3,0.4,0.399,0.316,0.836,2.4,0.113
2019,Jonquel Jones,2nd,(V),CON,34,28.8,14.6,9.7,1.5,1.3,2,0.448,0.309,0.818,5.6,0.276
2019,Nneka Ogwumike,2nd,(V),LAS,32,27.9,16.1,8.8,1.8,1.9,0.5,0.51,0.338,0.828,5.5,0.298
2019,Odyssey Sims,2nd,(V),MIN,34,31.9,14.5,3.4,5.4,1.4,0.1,0.415,0.269,0.795,2.1,0.094
2018,Liz Cambage,1st,(V),DAL,32,29.5,23,9.7,2.3,0.5,1.7,0.589,0.324,0.738,6.2,0.313
2018,Elena Delle Donne,1st,(V),WAS,29,32.2,20.7,7.2,2.3,0.9,1.4,0.488,0.405,0.887,5.9,0.303
2018,Tiffany Hayes,1st,(V),ATL,31,28.9,17.2,3.6,2.7,1.2,0.2,0.441,0.321,0.817,4.1,0.22
2018,Breanna Stewart,1st,(V),SEA,34,31.6,21.8,8.4,2.5,1.4,1.4,0.529,0.415,0.82,7.7,0.346
2018,Diana Taurasi,1st,(V),PHO,33,30,20.7,3.5,5.3,0.9,0.2,0.446,0.383,0.925,5.6,0.272
2018,Skylar Diggins-Smith,2nd,(V),DAL,32,34.1,17.9,3.3,6.2,1.4,0.5,0.403,0.297,0.839,3.9,0.171
2018,Brittney Griner,2nd,(V),PHO,34,32.6,20.5,7.7,2.1,0.5,2.6,0.544,0.25,0.8,5.2,0.225
2018,Maya Moore,2nd,(V),MIN,34,31.8,18,5.1,2.6,1.7,0.4,0.423,0.365,0.833,4.1,0.18
2018,Candace Parker,2nd,(V),LAS,31,30.6,17.9,8.2,4.7,1.2,1.1,0.471,0.345,0.808,4.6,0.234
2018,Courtney Vandersloot,2nd,(V),CHI,30,31.8,12.5,3.7,8.6,1.3,0.6,0.489,0.398,0.826,2.3,0.117
2017,Tina Charles,1st,(V),NYL,34,32.2,19.7,9.4,2.6,0.8,0.7,0.442,0.348,0.804,4.7,0.206
2017,Skylar Diggins-Smith,1st,(V),DAL,34,34.2,18.5,3.5,5.8,1.3,0.8,0.422,0.35,0.894,4.6,0.19
2017,Sylvia Fowles,1st,(V),MIN,34,30.8,18.9,10.4,1.5,1.3,2,0.655,,0.768,9.2,0.42
2017,Maya Moore,1st,(V),MIN,34,31.3,17.3,5,3.5,1.9,0.4,0.442,0.411,0.858,6.9,0.309
2017,Candace Parker,1st,(V),LAS,33,30.5,16.9,8.4,4.3,1.5,1.7,0.478,0.354,0.756,5.8,0.274
2017,Chelsea Gray,2nd,(V),LAS,34,33.1,14.8,3.3,4.4,1.1,0.2,0.507,0.482,0.827,5.7,0.242
2017,Brittney Griner,2nd,(V),PHO,26,31.5,21.9,7.6,1.9,0.7,2.5,0.577,,0.812,5.4,0.315
2017,Jonquel Jones,2nd,(V),CON,34,28.5,15.4,11.9,1.5,0.9,1.5,0.534,0.446,0.818,7.2,0.356
2017,Nneka Ogwumike,2nd,(V),LAS,34,30.9,18.8,7.7,2.1,1.9,0.5,0.561,0.34,0.87,8.4,0.385
2017,Diana Taurasi,2nd,(V),PHO,31,28.5,17.9,3,2.7,0.5,0.3,0.4,0.384,0.912,3.3,0.181
2016,Sue Bird,1st,(V),SEA,34,31.6,12.8,2.9,5.8,1,0.2,0.449,0.444,0.786,2.9,0.13
2016,Tina Charles,1st,(V),NYL,32,33.7,21.5,9.9,3.8,0.8,0.8,0.439,0.347,0.812,4.7,0.212
2016,Elena Delle Donne,1st,(V),CHI,28,33.1,21.5,7,1.9,0.6,1.5,0.485,0.426,0.935,5.4,0.281
2016,Maya Moore,1st,(V),MIN,34,29.7,19.3,5.1,4.2,1.6,0.7,0.448,0.404,0.868,6.6,0.315
2016,Nneka Ogwumike,1st,(V),LAS,33,31.6,19.7,9.1,3.1,1.3,1.2,0.665,0.615,0.869,9.6,0.444
2016,Sylvia Fowles,2nd,(V),MIN,34,28.5,13.9,8.5,1.2,1.3,1.8,0.595,,0.717,6.3,0.311
2016,Jewell Loyd,2nd,(V),SEA,34,31.6,16.5,3.4,3.4,1.2,0.3,0.431,0.303,0.891,3.2,0.141
2016,Angel McCoughtry,2nd,(V),ATL,33,30,19.5,5.7,2.8,1.6,0.7,0.434,0.302,0.788,3.4,0.164
2016,Breanna Stewart,2nd,(V),SEA,34,34.7,18.3,9.3,3.4,1.2,1.9,0.457,0.338,0.833,5.7,0.232
2016,Diana Taurasi,2nd,(V),PHO,33,29.8,17.8,3,3.9,0.9,0.1,0.396,0.35,0.909,3,0.146
2015,DeWanna Bonner,1st,(V),PHO,33,33.3,15.8,5.7,3.3,1.3,0.8,0.378,0.254,0.866,5,0.218
2015,Tina Charles,1st,(V),NYL,34,31,17.1,8.5,2.4,0.7,0.7,0.458,0.2,0.715,4.2,0.189
2015,Elena Delle Donne,1st,(V),CHI,31,33.3,23.4,8.4,1.4,1.1,2,0.46,0.313,0.95,8.9,0.415
2015,Angel McCoughtry,1st,(V),ATL,34,30,20.1,5.3,2.8,2.1,0.5,0.413,0.363,0.805,4.3,0.2
2015,Maya Moore,1st,(V),MIN,33,33.4,20.6,6.7,3.5,1.7,0.8,0.42,0.359,0.855,6.5,0.282
2015,Tamika Catchings,2nd,(V),IND,30,26.6,13.1,7.1,2.2,1.8,0.8,0.382,0.295,0.868,4.2,0.254
2015,Brittney Griner,2nd,(V),PHO,26,30.7,15.1,8.1,1.3,0.3,4,0.565,,0.773,4.8,0.291
2015,Candace Parker,2nd,(V),LAS,16,34.4,19.4,10.1,6.3,1.9,1.8,0.489,0.279,0.815,3.9,0.34
2015,Epiphanny Prince,2nd,(V),NYL,24,28.6,15,2.9,3.4,2,0.2,0.467,0.356,0.9,4.3,0.3
2015,Courtney Vandersloot,2nd,(V),CHI,34,29.9,11.4,3.4,5.8,1.3,0.5,0.463,0.356,0.901,4.3,0.203
2014,Skylar Diggins-Smith,1st,(V),TUL,34,35.1,20.1,2.5,5,1.5,0.6,0.424,0.284,0.842,4.2,0.168
2014,Brittney Griner,1st,(V),PHO,34,30.7,15.6,8,1.6,0.6,3.8,0.578,,0.802,6.8,0.311
2014,Maya Moore,1st,(V),MIN,34,34.7,23.9,8.1,3.4,1.9,0.8,0.481,0.335,0.884,8.3,0.339
2014,Candace Parker,1st,(V),LAS,30,33.2,19.4,7.1,4.3,1.8,1.4,0.469,0.306,0.846,5.2,0.253
2014,Diana Taurasi,1st,(V),PHO,33,30.8,16.2,3.8,5.6,0.7,0.3,0.454,0.365,0.874,5.6,0.266
2014,Seimone Augustus,2nd,(V),MIN,24,31.2,16.5,3.6,2.4,0.4,0.1,0.511,0.333,0.846,2.3,0.147
2014,Tina Charles,2nd,(V),NYL,34,32.9,17.4,9.4,2.2,1.3,0.9,0.462,,0.752,4.4,0.191
2014,Angel McCoughtry,2nd,(V),ATL,31,31.4,18.5,5.2,3.6,2.4,0.4,0.42,0.295,0.809,3.4,0.166
2014,Nneka Ogwumike,2nd,(V),LAS,33,27.6,15.8,7.1,1.5,1.8,0.5,0.52,0.3,0.873,4.9,0.26
2014,Danielle Robinson (T),2nd,(V),SAS,33,33.1,12.9,3.5,5.3,1.7,0.2,0.457,0,0.941,2.9,0.129
2014,Lindsay Whalen (T),2nd,(V),MIN,34,30.6,14.1,4.2,5.5,0.9,0.1,0.48,0.1,0.77,4.5,0.209
2013,Sylvia Fowles,1st,(V),CHI,32,31.3,16.3,11.5,0.4,0.9,2.4,0.586,,0.685,7.2,0.346
2013,Maya Moore,1st,(V),MIN,34,31.4,18.5,6.2,3,1.7,1,0.509,0.453,0.882,8.5,0.381
2013,Candace Parker,1st,(V),LAS,31,28.7,17.9,8.7,3.8,1.3,1.8,0.493,0.257,0.762,6.5,0.353
2013,Diana Taurasi,1st,(V),PHO,32,32.3,20.3,4.2,6.2,0.7,0.5,0.456,0.347,0.854,5.6,0.259
2013,Lindsay Whalen,1st,(V),MIN,34,29.6,14.9,4.4,5.8,0.8,0.1,0.486,0.111,0.783,5.3,0.251
2013,Seimone Augustus,2nd,(V),MIN,31,29.7,16.3,3.2,2.5,0.6,0.6,0.516,0.29,0.879,4.5,0.236
2013,Tamika Catchings,2nd,(V),IND,30,31.4,17.7,7.1,2.4,2.8,1,0.396,0.321,0.861,6.2,0.315
2013,Tina Charles,2nd,(V),CON,29,32.8,18,10.1,1.4,0.9,1,0.4,0,0.752,1.8,0.089
2013,Elena Delle Donne,2nd,(V),CHI,30,31.4,18.1,5.6,1.8,0.7,1.8,0.426,0.438,0.929,6.5,0.334
2013,Angel McCoughtry,2nd,(V),ATL,33,31.4,21.5,5.3,4.4,2.7,0.7,0.413,0.204,0.824,4.8,0.222
2012,Seimone Augustus,1st,(V),MIN,29,28.5,16.6,3.6,2.5,0.9,0.2,0.491,0.437,0.852,4.3,0.251
2012,Tamika Catchings,1st,(V),IND,34,30.5,17.4,7.6,3.1,2.1,0.9,0.432,0.379,0.864,7.8,0.361
2012,Tina Charles,1st,(V),CON,33,33.2,18,10.5,1.7,0.5,1.4,0.499,0.2,0.802,5.5,0.24
2012,Candace Parker,1st,(V),LAS,33,30.7,17.4,9.7,3.3,1.5,2.3,0.481,0.322,0.71,5.7,0.269
2012,Cappie Pondexter,1st,(V),NYL,34,34.2,20.4,4.5,4.3,1.3,0.2,0.435,0.327,0.867,4.6,0.19
2012,Sylvia Fowles,2nd,(V),CHI,25,31.1,16.2,10.4,0.8,1.3,1.2,0.638,,0.692,5.5,0.342
2012,Maya Moore,2nd,(V),MIN,34,29.7,16.4,6,3.6,1.5,0.6,0.465,0.388,0.879,7.4,0.35
2012,Kristi Toliver,2nd,(V),LAS,34,31.5,17.5,3.2,4.9,1.3,0.1,0.491,0.424,0.901,5.6,0.25
2012,Lindsay Whalen,2nd,(V),MIN,33,27,11.5,4.2,5.4,0.7,0.2,0.505,0.5,0.727,4.7,0.251
2012,Sophia Young-Malcolm,2nd,(V),SAS,33,31.8,16.3,7.2,2.1,2.2,0.4,0.521,0,0.706,5.8,0.266
2011,Tamika Catchings,1st,(V),IND,33,31.5,15.5,7.1,3.5,2,0.9,0.438,0.348,0.883,6.5,0.298
2011,Tina Charles,1st,(V),CON,34,33.4,17.6,11,1.9,0.8,1.8,0.468,0,0.687,4.9,0.208
